"HolderAddress","Balance","PendingBalanceUpdate"
"0x910f776c47a88062e2a8c436e9b81827d374a722","4.06918452182779E+25","No"
"0xb951da3870f7b7d1e3f9249c18e93d5cc5c3565c","1E+26","No"
"0x9976bc27e14fc429d70a12b43869bf0825be4f13","8.68186175293401E+24","No"
"0xfce99ce6009b47e8a2a4b747b090975879cdae40","6.46973925849218E+17","No"
"0x3b72b5626bc890e6db1cca0c9a0ba161ecb65280","6.88486726955602E+24","No"
"0xc76c16c7cda0bd04431ef551afcf07285cfd2d15","1.36720432504919E+26","No"
"0x3f2ad66e45288e9cf4d46009f136b7f8b5767c95","9.37595152480538E+23","No"
"0x90c21b371dc7f3c81a9e2156df83795f093cb851","8.21684195808006E+24","No"
"0xd2f6e23e515f674a6f4d52fce7962e2e0050798f","1.70000000000004E+27","No"
"0xa053c0c9f32ccbb0b871b22d1c1050e89e87ab7b","7E+26","No"
"0xd8903863582549b00fee8c7a78fc87ca44d064f8","1.63846994250504E+25","No"
"0xe18392077885913818da08ef5889a2b6aaf63ccc","5.06690063140614E+17","No"
"0xc242d34e056272e4c80efaf5b766ef36e567e825","1E+25","No"
"0x28aff7b5bb33d0260389107168f983996dc44396","9.3933E+24","No"
"0x814ac3c9f5fde8091150e9d11d87c9194fb15ecb","2.55615248427123E+25","No"
"0x94d449b975ef0eb241e8b520a6e941bda2e4702c","2.40861507755748E+24","No"
"0xe35cec72d0272e72c5ffa9a5444f0b41669b2a18","9.40014537605782E+21","No"
"0xe40bbbd1ef3ef153e174abd32223765fe86ba87f","1.91174205559285E+25","No"
"0x37c3b7c53e6becd0b7f7b428b51a9233b0902fd9","5.16619321117079E+24","No"
"0xe5b4a715ecbecbde4f4431c685701938d2eea6ed","2E+25","No"
"0xcb4c3d50186dee2c1ba37aee72a3d0930f8d548a","2.1816962147919E+26","No"
"0x451a6c36a4cbb445bf10c9f8faedb5c3ac9e616f","1.34086084068527E+25","No"
"0xaabd812769dcb778603dc175dd0210a00735ec13","3.0780829968538E+25","No"
"0x212c5ae33f8668b700c62ee90b146f043a1eaee8","1E+25","No"
"0x9b7e297429d18add1f6d1ac6a5e16674ba0b8ade","2.88607880962938E+24","No"
"0x3a7bbebd40a030d45985b7b40ce984d65edb1990","1.03036907440476E+24","No"
"0xf77a203119ace312e54b99cd77ea61ba016f9695","2.70610180592162E+25","No"
"0xb9a96e58b915c636136ded8b057526ff30dea2e3","5","No"
"0xd15efd7c8cc51fab0714e25d4cc56754bcb97260","1.9E+25","No"
"0xb9554f36351ea7b86b7b67d28204d527be5f28e8","1.5E+25","No"
"0x695e533a16308e71e2420c99f9442921e14c4d0f","1.00005376228127E+25","No"
"0x99c0b8c6278d24d10993436464cb70d2ede5e469","1.20000906906729E+28","No"
"0x74c22a96305200d71820a7cb13910df12fff99ab","5.92881800594259E+25","No"
"0x5ae7922d8edb5a91308223a20bc587e5004f5ed4","1.91914871425545E+23","No"
"0x169dfe6f1e09d8fe6886938358ac24ef2a79400b","2.25E+26","No"
"0x3ff457ce5f8f26899b7041c134ef6e818fd24adc","1.35525095423226E+25","No"
"0x83fc6c40a24a11d74982e0aeae7539eb34da05ae","4.11987857454417E+25","No"
"0xb2d2eec78c6624bb26c9d65df2a2cc27f7b2e71a","5.23674875441526E+16","No"
"0xaf758755ce61c60301f0427e01f30c0735e55f26","2.5E+25","No"
"0x9a90a862bf9b8550eb958532b24b48780c32e7fa","1E+26","No"
"0xb6395bba24f22ee7636976173a002593cdef120e","3.14484517942272E+25","No"
"0x4c48842ef707e0ee72232337c10a51204e4f21b0","1.37524626780355E+25","No"
"0x46bf91595ecddf777573ad05c8217073569da147","5.84143723716692E+17","No"
"0xf95f4379d40ec97eb26c100757dd8fbb441b54c7","4.15993535778038E+25","No"
"0x71cfd71d3aad18be4bfbf900e9f1bfac3f0dfeca","3.4006201314286E+26","No"
"0x4bbfde266126c26c3ae418d28ff836ed19160ad0","1.01614281380171E+26","No"
"0xe40b053bb017a3f84f029687eaeef3f51b36a01f","5E+25","No"
"0x67be2dfdd5d971b63f7c69caed95f850de9b2346","1.00958597784926E+20","No"
"0xc1b971720bc066551d7110a3fcade4afe9608e8c","9.57369047733666E+24","No"
"0x054f16fa8ecc15dc47d22422d3d864eba43e87cf","5.99699603113874E+21","No"
"0x3c57876e73c6454a936fcc8446b9546a32cf2b6e","77195931848549","No"
"0xd5f741f92795fa0e0cbdd7d7725b124d10f67184","2.19899973096584E+25","No"
"0xae78170fd377fd536dfbd6cafe2d4adf3d40fd26","5E+25","No"
"0x803c2460ef2d4ebc7dcea288ae1d9bc26d9fa218","52572307746852","No"
"0x7ff5ba5bae4a69988b992f2a5deb44a3d273e034","7.1786492E+25","No"
"0x4da4cb1199eaae0c21a07965348f363b38239f8a","6.12855743241827E+25","No"
"0x0a71d4788981aa2674d300c06138764f6adbd2cb","2.27622828954104E+27","No"
"0x7b42cc3ebce3b6a34afada8d08b01da167f01462","1.13009158202804E+25","No"
"0x3ad2450365e657d14abba21b3bb68c323e4eea49","1.1E+25","No"
"0xa5a5cbb15d85675452623d1702a60ca1f3e868c7","1.19201642232037E+25","No"
"0x78e37187998bf8886e13c50252815f2571e4fc6e","2.19136630684723E+17","No"
"0x8eef8c1246c99b02ee6108e0e7c4b8f407062552","80997752494663","No"
"0xce25b67e961f998e7055a898ac15734b0068661b","1.44927737615637E+18","No"
"0x054cd915e42581db518cf35b45ef005344c0e937","1.28378640816748E+25","No"
"0x18c8994689222a6d7c87f2bf9e78fa4615972f41","3.6044762525466E+23","No"
"0xc8730790df3049ed68d3ecd6dbc2c5f42818d89f","4.81143607911053E+24","No"
"0x726eae5e39cbc00bb893cf1a95b20063d11df0d5","2.8E+25","No"
"0x92974ef383d233d6e154d489aaa1541f128e3c56","7.64408136552751E+22","No"
"0xf851ca3685e40de902be19e0cb0adebb7c7d6293","3.07081042117476E+24","No"
"0xfcbb431c3e53a58fcc40e6aadcac607c70d85021","4.04313117657686E+25","No"
"0xc5aad635158a9e18e6aca4e2c34e7ab6ce98957f","7.23630148933495E+25","No"
